SUBCATEGORY,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
4123A - TORCHES & EMERGENCY,4123 - TORCHES & EMERGENCY LAMP,MISC & STATIONARY,1.22,1.0,-0.1803,4.5,3.0,-0.3333,1.0,1.0,0.0,64211.0,57522.0,-0.1042,64211.0,57522.0,-0.1042,9.0,9.0,0.0
4131A - ELECTRICAL & INSTALLATION SUPPORT,4131 - ELECTRICAL & INSTALLATION SUPPORT,MISC & STATIONARY,1.03,1.02,-0.0097,31.0,17.33,-0.441,1.0,1.04,0.04,39513.0,39306.0,-0.0052,39513.0,40878.0,0.0345,62.0,50.0,-0.1935
4142A - HAND TOOLS,4142 - HAND TOOLS,MISC & STATIONARY,1.0,,,3.5,,,1.0,,,8500.0,,,8500.0,,,7.0,,
4161A - BUILDING HARDWARE,4161 - BUILDING HARDWARE,MISC & STATIONARY,1.05,1.0,-0.0476,19.5,6.67,-0.6579,1.0,1.0,0.0,36528.0,35210.0,-0.0361,36528.0,35210.0,-0.0361,39.0,20.0,-0.4872
4162A - GLUE ADHESIVE,4162 - ADHESIVE TAPE & GLUE,MISC & STATIONARY,1.06,1.05,-0.0094,88.5,39.0,-0.5593,1.02,1.02,0.0,13168.0,12563.0,-0.0459,13431.0,12814.0,-0.0459,174.0,115.0,-0.3391
4224A - PARTY ACCESSORIES ASSORT,4224 - PARTY ACCESSORIES,MISC & STATIONARY,1.1,1.07,-0.0273,138.5,49.67,-0.6414,1.09,1.07,-0.0183,13509.0,13529.0,0.0015,14725.0,14476.0,-0.0169,255.0,139.0,-0.4549
4224B - PARTY ACCESSORIES,4224 - PARTY ACCESSORIES,MISC & STATIONARY,1.23,1.22,-0.0081,55.0,27.0,-0.5091,1.05,1.04,-0.0095,10219.0,11327.0,0.1084,10730.0,11780.0,0.0979,105.0,78.0,-0.2571
4241A - KITCHEN ARRANGEMENT,4241 - KITCHEN ARRANGEMENT,MISC & STATIONARY,1.1,1.03,-0.0636,103.0,40.67,-0.6051,1.04,1.04,0.0,15161.0,11027.0,-0.2727,15767.0,11468.0,-0.2727,199.0,117.0,-0.4121
4244A - GAS STOVE ARRANGEMENT,4244 - GAS STOVE ARRANGEMENT,MISC & STATIONARY,1.13,1.21,0.0708,294.0,125.0,-0.5748,1.18,1.11,-0.0593,97868.0,58099.0,-0.4064,115484.0,64490.0,-0.4416,497.0,338.0,-0.3199
4252A - CLEANING ACCESSORIES,4252 - CLEANING ACCESSORIES,MISC & STATIONARY,1.18,,,11.0,,,1.1,,,30823.0,,,33905.0,,,20.0,,
4311A - CAT FOODS WET,4311 - PET FOODS & ACCESSORIES,MISC & STATIONARY,2.65,3.29,0.2415,673.5,539.0,-0.1997,1.68,1.92,0.1429,21632.0,26203.0,0.2113,36342.0,50310.0,0.3843,800.0,842.0,0.0525
4311B - DOG FOODS,4311 - PET FOODS & ACCESSORIES,MISC & STATIONARY,4.63,,,9.5,,,1.58,,,109937.0,,,173700.0,,,12.0,,
4311C - PET ACCESSORIES,4311 - PET FOODS & ACCESSORIES,MISC & STATIONARY,1.0,1.0,0.0,18.0,9.67,-0.4628,1.38,2.23,0.6159,41639.0,38800.0,-0.0682,57462.0,86524.0,0.5058,26.0,13.0,-0.5
4311E - CAT FOODS DRY,4311 - PET FOODS & ACCESSORIES,MISC & STATIONARY,1.23,1.16,-0.0569,554.5,275.67,-0.5028,1.56,1.53,-0.0192,29394.0,25522.0,-0.1317,45855.0,39049.0,-0.1484,709.0,540.0,-0.2384
4311F - CAT FOODS SNACK,4311 - PET FOODS & ACCESSORIES,MISC & STATIONARY,1.68,1.35,-0.1964,95.0,51.0,-0.4632,1.31,1.34,0.0229,30746.0,32641.0,0.0616,40277.0,43739.0,0.086,145.0,114.0,-0.2138
4511B - OFFICE SUPPLY,4511 - OFFICE SUPPLY,MISC & STATIONARY,1.2,1.17,-0.025,161.5,91.33,-0.4345,1.05,1.05,0.0,16325.0,17314.0,0.0606,17141.0,18180.0,0.0606,307.0,260.0,-0.1531
4512A - PAPER PRODUCT OFFICE,4512 - PAPER PRODUCT,MISC & STATIONARY,1.15,1.0,-0.1304,30.0,9.33,-0.689,1.02,1.0,-0.0196,17093.0,17414.0,0.0188,17435.0,17414.0,-0.0012,59.0,28.0,-0.5254
4512B - PAPER PRODUCT,4512 - PAPER PRODUCT,MISC & STATIONARY,1.0,,,6.5,,,1.08,,,26538.0,,,28661.0,,,12.0,,
4513A - STATIONARY ACCESSORIES,4513 - STATIONARY,MISC & STATIONARY,1.33,1.27,-0.0451,71.0,39.67,-0.4413,1.02,1.04,0.0196,17644.0,19446.0,0.1021,17997.0,20224.0,0.1237,139.0,114.0,-0.1799
4513B - STATIONARY BALLPOINT,4513 - STATIONARY,MISC & STATIONARY,1.09,1.14,0.0459,91.5,74.33,-0.1877,1.03,1.06,0.0291,15069.0,18304.0,0.2147,15521.0,19402.0,0.25,177.0,210.0,0.1864
4514A - WRITING BOOK,4514 - WRITING BOOK,MISC & STATIONARY,1.07,1.04,-0.028,14.0,9.33,-0.3336,1.12,1.04,-0.0714,10332.0,10239.0,-0.009,11572.0,10649.0,-0.0798,25.0,27.0,0.08
4515A - COLOURING BOOK,4515 - COLOURING BOOK,MISC & STATIONARY,1.0,1.06,0.06,3.0,6.0,1.0,1.0,1.0,0.0,22850.0,25211.0,0.1033,22850.0,25211.0,0.1033,6.0,18.0,2.0
4516A - DRAWING BOOK,4516 - DRAWING BOOK,MISC & STATIONARY,1.17,1.2,0.0256,6.0,3.33,-0.445,1.09,1.0,-0.0826,10400.0,11080.0,0.0654,11336.0,11080.0,-0.0226,11.0,10.0,-0.0909
4521A - MAIL MATERIAL,4521 - MAIL MATERIAL,MISC & STATIONARY,2.9,3.01,0.0379,247.0,159.33,-0.3549,1.17,1.15,-0.0171,33547.0,34668.0,0.0334,39250.0,39868.0,0.0157,424.0,414.0,-0.0236
4521B - MAIL MATERIAL AMPLOP,4521 - MAIL MATERIAL,MISC & STATIONARY,1.07,1.23,0.1495,37.5,34.33,-0.0845,1.0,1.01,0.01,5941.0,7886.0,0.3274,5941.0,7965.0,0.3407,75.0,102.0,0.36
4721A - CLEANING KIT SPON,4721 - CLEANING KIT,MISC & STATIONARY,1.24,1.0,-0.1935,14.5,6.0,-0.5862,1.0,1.0,0.0,20255.0,14500.0,-0.2841,20255.0,14500.0,-0.2841,29.0,18.0,-0.3793
4721C - CLEANING KIT CAIR,4721 - CLEANING KIT,MISC & STATIONARY,1.31,1.29,-0.0153,80.0,46.0,-0.425,1.06,1.09,0.0283,23373.0,23154.0,-0.0094,24775.0,25238.0,0.0187,151.0,127.0,-0.1589
4731A - LUBRICANT - UPKEEP,4731 - LUBRICANT & UPKEEP,MISC & STATIONARY,1.8,1.0,-0.4444,5.0,5.33,0.066,1.0,1.0,0.0,107840.0,36900.0,-0.6578,107840.0,36900.0,-0.6578,10.0,16.0,0.6
4751A - MOTORCYCLE ACCESSORIES,4751 - MOTORCYCLE ACCESSORIES,MISC & STATIONARY,1.0,,,0.5,,,1.0,,,39000.0,,,39000.0,,,1.0,,
4751B - RAIN COAT,4751 - MOTORCYCLE ACCESSORIES,MISC & STATIONARY,1.25,1.28,0.024,191.5,246.0,0.2846,1.09,1.06,-0.0275,29232.0,33207.0,0.136,31863.0,35199.0,0.1047,351.0,693.0,0.9744
4753A - NON SURGICAL MASK,4753 - MASK,MISC & STATIONARY,1.16,1.16,0.0,196.5,141.67,-0.279,1.17,1.1,-0.0598,13151.0,14221.0,0.0814,15387.0,15643.0,0.0166,336.0,385.0,0.1458
4753B - SURGICAL MASK,4753 - MASK,MISC & STATIONARY,1.15,1.14,-0.0087,409.5,250.0,-0.3895,1.16,1.14,-0.0172,19269.0,20157.0,0.0461,22352.0,22979.0,0.0281,706.0,659.0,-0.0666
4753C - REUSABLE MASK,4753 - MASK,MISC & STATIONARY,1.0,1.0,0.0,2.5,2.0,-0.2,1.0,1.0,0.0,9340.0,12667.0,0.3562,9340.0,12667.0,0.3562,5.0,6.0,0.2
4753D - KIDS MASK,4753 - MASK,MISC & STATIONARY,1.22,1.18,-0.0328,27.0,21.67,-0.1974,1.08,1.05,-0.0278,18620.0,19005.0,0.0207,20110.0,19955.0,-0.0077,50.0,62.0,0.24
4753F - BOX MASK,4753 - MASK,MISC & STATIONARY,1.0,1.0,0.0,17.5,5.67,-0.676,1.13,1.0,-0.115,41511.0,35906.0,-0.135,46907.0,35906.0,-0.2345,31.0,17.0,-0.4516
5442A - WOMEN SANDALS,5442 - LADIES SANDALS,MISC & STATIONARY,1.0,1.11,0.11,7.0,6.0,-0.1429,1.0,1.0,0.0,30343.0,33339.0,0.0987,30343.0,33339.0,0.0987,14.0,18.0,0.2857
5443A - MEN SANDALS,5443 - MEN SANDALS,MISC & STATIONARY,1.03,1.06,0.0291,31.0,28.0,-0.0968,1.0,1.01,0.01,32871.0,31436.0,-0.0437,32871.0,31750.0,-0.0341,62.0,83.0,0.3387
5821A - UMBRELLA,5821 - UMBRELLA,MISC & STATIONARY,1.0,1.0,0.0,4.0,5.33,0.3325,1.0,1.0,0.0,64525.0,64650.0,0.0019,64525.0,64650.0,0.0019,8.0,16.0,1.0
1911A - INSTANT FRIED NOODLE 65-100G,1911 - INSTANT NOODLE BAG,NOODLE,3.31,3.05,-0.0785,7507.5,2421.67,-0.6774,1.49,1.44,-0.0336,11020.0,9973.0,-0.095,16420.0,14361.0,-0.1254,10072.0,5033.0,-0.5003
1911B - INSTANT BOILED NOODLE 50-99G,1911 - INSTANT NOODLE BAG,NOODLE,3.76,3.27,-0.1303,7326.0,2753.0,-0.6242,1.51,1.51,0.0,12196.0,10498.0,-0.1392,18416.0,15852.0,-0.1392,9684.0,5452.0,-0.437
1911D - PREMIUM INSTANT BOILED NOODLE,1911 - INSTANT NOODLE BAG,NOODLE,1.42,1.53,0.0775,1279.5,465.0,-0.6366,1.23,1.22,-0.0081,15256.0,14918.0,-0.0222,18765.0,18200.0,-0.0301,2083.0,1144.0,-0.4508
1911E - INSTANT NOODLE BANDED,1911 - INSTANT NOODLE BAG,NOODLE,1.31,1.79,0.3664,1274.0,956.33,-0.2493,1.29,1.38,0.0698,21026.0,28321.0,0.347,27124.0,39083.0,0.4409,1979.0,2074.0,0.048
1911F - INSTANT FRIED NOODLE >100G,1911 - INSTANT NOODLE BAG,NOODLE,2.57,2.04,-0.2062,2271.5,954.0,-0.58,1.32,1.31,-0.0076,11106.0,8817.0,-0.2061,14660.0,11550.0,-0.2121,3445.0,2183.0,-0.3663
1911G - PREMIUM INSTANT FRIED NOODLE,1911 - INSTANT NOODLE BAG,NOODLE,1.5,1.51,0.0067,1610.5,599.67,-0.6276,1.23,1.21,-0.0163,20613.0,19895.0,-0.0348,25354.0,24073.0,-0.0505,2623.0,1488.0,-0.4327
1912A - INSTANT FRIED NOODLE CUP,1912 - INSTANT NOODLE CUP,NOODLE,1.68,1.54,-0.0833,728.5,264.0,-0.6376,1.19,1.14,-0.042,10339.0,8832.0,-0.1458,12303.0,10068.0,-0.1817,1224.0,697.0,-0.4306
1912B - INSTANT BOILED NOODLE CUP 35-75G,1912 - INSTANT NOODLE CUP,NOODLE,1.93,1.7,-0.1192,1701.0,619.0,-0.6361,1.28,1.25,-0.0234,12047.0,9588.0,-0.2041,15420.0,11985.0,-0.2228,2651.0,1484.0,-0.4402
1912C - INSTANT BOILED NOODLE CUP 77-100G,1912 - INSTANT NOODLE CUP,NOODLE,1.7,1.54,-0.0941,385.5,307.33,-0.2028,1.18,1.2,0.0169,9423.0,8597.0,-0.0877,11119.0,10316.0,-0.0722,654.0,768.0,0.1743
1912D - PREMIUM INSTANT NOODLE CUP,1912 - INSTANT NOODLE CUP,NOODLE,1.2,1.29,0.075,140.5,73.33,-0.4781,1.07,1.11,0.0374,16240.0,16349.0,0.0067,17377.0,18147.0,0.0443,263.0,198.0,-0.2471
1913A - INSTANT RICE NOODLE,1913 - INSTANT RICE NOODLE,NOODLE,2.38,3.05,0.2815,779.5,364.67,-0.5322,1.27,1.22,-0.0394,10166.0,12140.0,0.1942,12911.0,14811.0,0.1472,1232.0,897.0,-0.2719
1914A - EGG NOODLE,1914 - PREPARED NOODLE,NOODLE,1.58,1.76,0.1139,253.0,87.33,-0.6548,1.12,1.18,0.0536,9492.0,10452.0,0.1011,10631.0,12333.0,0.1601,450.0,222.0,-0.5067
1914B - RICE NOODLE,1914 - PREPARED NOODLE,NOODLE,1.13,1.11,-0.0177,95.5,24.67,-0.7417,1.15,1.0,-0.1304,13268.0,12965.0,-0.0228,15258.0,12965.0,-0.1503,166.0,74.0,-0.5542
1923A - INSTANT PORRIDGE,1923 - INSTANT PORRIDGE,NOODLE,2.55,2.32,-0.0902,293.0,101.0,-0.6553,1.22,1.18,-0.0328,11144.0,10487.0,-0.059,13596.0,12375.0,-0.0898,479.0,256.0,-0.4656
3211B - SHAMPOO 70-100ML,3211 - SHAMPOO,PERSONAL CARE,1.06,1.03,-0.0283,144.5,114.67,-0.2064,1.06,1.07,0.0094,22640.0,23276.0,0.0281,23998.0,24905.0,0.0378,273.0,323.0,0.1832
3211C - SHAMPOO 130-250ML,3211 - SHAMPOO,PERSONAL CARE,1.24,1.26,0.0161,2344.0,1302.0,-0.4445,1.26,1.32,0.0476,37077.0,37907.0,0.0224,46717.0,50037.0,0.0711,3719.0,2960.0,-0.2041
3211D - SHAMPOO 270-450ML,3211 - SHAMPOO,PERSONAL CARE,1.11,1.12,0.009,514.0,338.33,-0.3418,1.15,1.25,0.087,57671.0,61738.0,0.0705,66322.0,77172.0,0.1636,896.0,814.0,-0.0915
3211E - SHAMPOO 450-700ML,3211 - SHAMPOO,PERSONAL CARE,1.23,,,48.5,,,1.11,,,118319.0,,,131334.0,,,87.0,,
3213A - CONDITIONER LEAVE ON 30-70ML,3213 - CONDITIONER,PERSONAL CARE,1.31,1.0,-0.2366,34.0,8.67,-0.745,1.1,1.18,0.0727,23951.0,18300.0,-0.2359,26346.0,21594.0,-0.1804,62.0,22.0,-0.6452
3213B - CONDITIONER 70-100ML,3213 - CONDITIONER,PERSONAL CARE,1.03,1.01,-0.0194,117.5,49.0,-0.583,1.1,1.12,0.0182,20493.0,22206.0,0.0836,22542.0,24871.0,0.1033,214.0,131.0,-0.3879
3213C - CONDITIONER 135-250ML,3213 - CONDITIONER,PERSONAL CARE,1.08,1.05,-0.0278,244.5,132.67,-0.4574,1.11,1.16,0.045,34781.0,35798.0,0.0292,38607.0,41526.0,0.0756,439.0,344.0,-0.2164
3213D - CONDITIONER 260-500ML,3213 - CONDITIONER,PERSONAL CARE,1.3,,,5.0,,,1.11,,,91970.0,,,102087.0,,,9.0,,
3214A - HAIR TONIC,3214 - HAIR TONIC,PERSONAL CARE,1.07,1.02,-0.0467,34.0,17.67,-0.4803,1.03,1.06,0.0291,41613.0,38957.0,-0.0638,42861.0,41294.0,-0.0366,66.0,50.0,-0.2424
3215A - HAIR STYLING CREAM,3215 - HAIR STYLING,PERSONAL CARE,1.0,1.02,0.02,114.0,108.33,-0.0497,1.08,1.12,0.037,33139.0,33644.0,0.0152,35790.0,37681.0,0.0528,211.0,291.0,0.3791
3215B - HAIR STYLING WAX,3215 - HAIR STYLING,PERSONAL CARE,1.03,1.0,-0.0291,16.0,10.33,-0.3544,1.28,1.0,-0.2188,69425.0,36852.0,-0.4692,88864.0,36852.0,-0.5853,25.0,31.0,0.24
3215C - HAIR STYLING GEL,3215 - HAIR STYLING,PERSONAL CARE,1.04,1.02,-0.0192,51.0,41.0,-0.1961,1.04,1.06,0.0192,17311.0,16737.0,-0.0332,18003.0,17741.0,-0.0146,98.0,116.0,0.1837
3215D - HAIR STYLING SPRAY,3215 - HAIR STYLING,PERSONAL CARE,1.12,1.0,-0.1071,4.0,4.0,0.0,1.0,1.09,0.09,49188.0,36500.0,-0.2579,49188.0,39785.0,-0.1912,8.0,11.0,0.375
3216A - HAIR COLOUR POWDER,3216 - HAIR COLOUR,PERSONAL CARE,1.0,1.0,0.0,10.0,5.67,-0.433,1.11,1.06,-0.045,23765.0,23765.0,0.0,26379.0,25191.0,-0.045,18.0,16.0,-0.1111
3216B - HAIR COLOUR PASTA,3216 - HAIR COLOUR,PERSONAL CARE,1.72,1.48,-0.1395,297.0,213.33,-0.2817,1.17,1.23,0.0513,34401.0,29292.0,-0.1485,40249.0,36029.0,-0.1048,506.0,519.0,0.0257
