SUBCATEGORY,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
1111A - ENERGY DRINK LIQUID BOTTLE  100-250ML,1111 - ENERGY DRINK,CHILLER,1.13,1.24,0.0973,23.0,16.67,-0.2752,1.18,1.09,-0.0763,7374.0,8302.0,0.1258,8701.0,9049.0,0.04,39.0,46.0,0.1795
1111B - ENERGY DRINK LIQUID CAN 200-350ML,1111 - ENERGY DRINK,CHILLER,1.27,1.27,0.0,11.0,5.0,-0.5455,1.47,1.25,-0.1497,11764.0,12227.0,0.0394,17293.0,15284.0,-0.1162,15.0,12.0,-0.2
1112A - CARBONATED DRINK CAN 200-250ML,1112 - CARBONATED DRINK,CHILLER,1.25,1.38,0.104,8.0,5.33,-0.3338,1.14,1.14,0.0,8738.0,9606.0,0.0993,9961.0,10951.0,0.0994,14.0,14.0,0.0
1112C - CARBONATED DRINK PET 250-450 ML,1112 - CARBONATED DRINK,CHILLER,1.16,1.38,0.1897,341.0,118.67,-0.652,1.75,1.17,-0.3314,6232.0,6474.0,0.0388,10906.0,7575.0,-0.3054,389.0,305.0,-0.2159
1112D - CARBONATED DRINK PET 425-500ML,1112 - CARBONATED DRINK,CHILLER,1.2,1.11,-0.075,12.5,18.67,0.4936,1.09,1.22,0.1193,11208.0,10298.0,-0.0812,12217.0,12564.0,0.0284,23.0,46.0,1.0
1112E - CARBONATED DRINK PET 1000-1800ML,1112 - CARBONATED DRINK,CHILLER,1.14,1.76,0.5439,294.0,62.33,-0.788,1.84,1.29,-0.2989,15731.0,18772.0,0.1933,28945.0,24216.0,-0.1634,319.0,145.0,-0.5455
1113B - MINERAL WATER PET 330-400ML,1113 - MINERAL WATER,CHILLER,5.25,1.75,-0.6667,51.5,50.33,-0.0227,1.13,1.17,0.0354,16976.0,5716.0,-0.6633,19183.0,6688.0,-0.6514,91.0,129.0,0.4176
1113C - MINERAL WATER PET 500-750ML,1113 - MINERAL WATER,CHILLER,1.85,1.66,-0.1027,739.5,597.67,-0.1918,1.38,1.47,0.0652,6343.0,6040.0,-0.0478,8753.0,8879.0,0.0144,1070.0,1223.0,0.143
1113D - MINERAL WATER PET 1-1.5L,1113 - MINERAL WATER,CHILLER,1.79,1.42,-0.2067,248.0,213.0,-0.1411,1.54,1.5,-0.026,10983.0,8875.0,-0.1919,16914.0,13312.0,-0.213,322.0,425.0,0.3199
1113I - FUNCTIONAL DRINK,1113 - MINERAL WATER,CHILLER,2.37,1.77,-0.2532,110.0,105.0,-0.0455,1.38,1.3,-0.058,11934.0,9136.0,-0.2345,16469.0,11877.0,-0.2788,159.0,242.0,0.522
