SECTION,CATEGORY,SUBCATEGORY,BRAND,SEGMENT_VALUE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_BEFORE,SPB_AFTER,SPB_BEFORE,SPT_AFTER,SPT_BEFORE,BUYER_COUNT_GROWTH,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_GROWTH,SPT_GROWTH,SPB_GROWTH,SEGMENT_TYPE,VERSI
BISC & CONFECTIONARY,2223 - CRACKER BISCUIT,2223D - CRACKER BISCUIT 200-260G,UNIBIS,BAG,1.14,1.14,42.33,46.0,111.0,79.0,1.14,1.16,14285.0,14224.0,12531.0,12262.0,0.4051,0.0,-0.0798,-0.0172,0.0219,0.0043,Packtype,V1
BISC & CONFECTIONARY,2223 - CRACKER BISCUIT,2223E - CRACKER BISCUIT 300-400G,KHONG GUAN,BAG,1.06,1.15,53.33,96.5,131.0,151.0,1.22,1.28,25602.0,27471.0,20985.0,21462.0,-0.1325,-0.0783,-0.4474,-0.0469,-0.0222,-0.068,Packtype,V1
BISC & CONFECTIONARY,2223 - CRACKER BISCUIT,2223E - CRACKER BISCUIT 300-400G,RITZ,OTHERS,,1.18,,8.5,,17.0,,1.0,,22524.0,,22524.0,,,,,,,Packtype,V1
BISC & CONFECTIONARY,2223 - CRACKER BISCUIT,2223E - CRACKER BISCUIT 300-400G,UBM,BAG,1.24,1.15,92.67,97.0,237.0,164.0,1.17,1.18,23232.0,22315.0,19856.0,18911.0,0.4451,0.0783,-0.0446,-0.0085,0.05,0.0411,Packtype,V1
BISC & CONFECTIONARY,2224 - MARIE BISCUIT,2224A - MARIE BISCUIT 30-85G,REGAL,POUCH,1.08,,16.0,,47.0,,1.02,,14008.0,,13733.0,,,,,,,,Packtype,V1
BISC & CONFECTIONARY,2224 - MARIE BISCUIT,2224B - MARIE BISCUIT 100-190G,ASIA,BAG,1.18,1.25,102.33,260.0,247.0,423.0,1.24,1.23,13859.0,14199.0,11177.0,11544.0,-0.4161,-0.056,-0.6064,0.0081,-0.0318,-0.0239,Packtype,V1
BISC & CONFECTIONARY,2224 - MARIE BISCUIT,2224B - MARIE BISCUIT 100-190G,REGAL,BAG,1.08,1.07,149.67,341.0,407.0,612.0,1.1,1.11,16317.0,16229.0,14834.0,14621.0,-0.335,0.0093,-0.5611,-0.009,0.0146,0.0054,Packtype,V1
BISC & CONFECTIONARY,2224 - MARIE BISCUIT,2224B - MARIE BISCUIT 100-190G,ROMA,BAG,1.12,1.17,202.33,355.5,493.0,617.0,1.23,1.15,14580.0,13856.0,11854.0,12049.0,-0.201,-0.0427,-0.4309,0.0696,-0.0162,0.0523,Packtype,V1
BISC & CONFECTIONARY,2224 - MARIE BISCUIT,2224C - MARIE BISCUIT 200-250G,REGAL,BAG,1.16,1.15,80.67,204.0,212.0,354.0,1.14,1.15,35275.0,35101.0,30943.0,30523.0,-0.4011,0.0087,-0.6046,-0.0087,0.0138,0.005,Packtype,V1
BISC & CONFECTIONARY,2224 - MARIE BISCUIT,2224C - MARIE BISCUIT 200-250G,ROMA,BAG,1.05,1.14,19.33,40.5,49.0,73.0,1.18,1.11,30153.0,30532.0,25553.0,27506.0,-0.3288,-0.0789,-0.5227,0.0631,-0.071,-0.0124,Packtype,V1
BISC & CONFECTIONARY,2225 - PIE BISCUIT,2225A - PIE BISCUIT 32-110G,KARTIKA TOAST,BOX,1.07,1.02,9.0,20.5,26.0,39.0,1.04,1.05,16706.0,16134.0,16063.0,15366.0,-0.3333,0.049,-0.561,-0.0095,0.0454,0.0355,Packtype,V1
BISC & CONFECTIONARY,2225 - PIE BISCUIT,2225A - PIE BISCUIT 32-110G,MONDE,BAG,1.11,1.08,27.33,78.5,74.0,142.0,1.11,1.11,16899.0,15504.0,15224.0,13968.0,-0.4789,0.0278,-0.6518,0.0,0.0899,0.09,Packtype,V1
BISC & CONFECTIONARY,2225 - PIE BISCUIT,2225A - PIE BISCUIT 32-110G,MONDE,OTHERS,,1.0,,2.5,,4.0,,1.25,,21250.0,,17000.0,,,,,,,Packtype,V1
BISC & CONFECTIONARY,2225 - PIE BISCUIT,2225B - PIE BISCUIT 150-200G,MONDE,BAG,1.05,1.04,26.33,82.5,74.0,153.0,1.07,1.08,13944.0,13120.0,13032.0,12148.0,-0.5163,0.0096,-0.6808,-0.0093,0.0728,0.0628,Packtype,V1
BISC & CONFECTIONARY,2226 - SANDWICH BISCUIT,2226A - SANDWICH BISCUIT 10-49G,NYAM-NYAM,BOX,1.08,1.19,68.67,104.0,181.0,184.0,1.14,1.13,11107.0,11569.0,9743.0,10238.0,-0.0163,-0.0924,-0.3397,0.0088,-0.0483,-0.0399,Packtype,V1
BISC & CONFECTIONARY,2226 - SANDWICH BISCUIT,2226B - SANDWICH BISCUIT 50-99G,BISKIES,BAG,1.14,1.26,213.67,568.0,536.0,981.0,1.2,1.16,11990.0,12854.0,9992.0,11081.0,-0.4536,-0.0952,-0.6238,0.0345,-0.0983,-0.0672,Packtype,V1
