CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH,TRANSACTION_PENETRATION_BEFORE,TRANSACTION_PENETRATION_AFTER,TRANSACTION_PENETRATION_GROWTH,BUYER_PROMO_BEFORE,BUYER_PROMO_AFTER,BUYER_NON_PROMO_BEFORE,BUYER_NON_PROMO_AFTER,PROMO_SHARE_BEFORE,PROMO_SHARE_AFTER,NON_PROMO_SHARE_BEFORE,NON_PROMO_SHARE_AFTER
1511 - RICE,-,1.07,,,20.5,,,1.46,,,165268.0,,,241291.0,,,28.0,,,0.0769,,,0.0,,28.0,,0.0,,1.0,
4251 - CLEANING EQUIPMENT,-,1.0,1.0,0.0,5.5,3.0,-0.4545,1.0,1.0,0.0,9300.0,9300.0,0.0,9300.0,9300.0,0.0,11.0,9.0,-0.1818,0.0206,0.0089,-0.568,0.0,0.0,11.0,9.0,0.0,0.0,1.0,1.0
5831 - RELIGIOUS NEEDS,-,,2.0,,,1.33,,,1.0,,,131350.0,,,131350.0,,,4.0,,,0.004,,,2.0,,2.0,,0.5,,0.5
6229 - CHILLED SEAFOOD,-,,1.6,,,248.0,,,1.28,,,13311.0,,,17038.0,,,580.0,,,0.7381,,,444.0,,199.0,,0.6905,,0.3095
6235 - FROZEN MEAT BALLS,-,1.05,1.33,0.2667,80.5,22.33,-0.7226,1.11,1.22,0.0991,34109.0,49715.0,0.4575,37861.0,60652.0,0.602,145.0,55.0,-0.6207,0.3021,0.0665,-0.7799,88.0,20.0,64.0,38.0,0.5789,0.3448,0.4211,0.6552
6236 - FROZEN SAUSAGES,-,1.04,1.08,0.0385,167.5,64.33,-0.6159,1.12,1.07,-0.0446,42284.0,43996.0,0.0405,47358.0,47076.0,-0.006,298.0,180.0,-0.396,0.6285,0.1915,-0.6953,140.0,63.0,170.0,126.0,0.4516,0.3333,0.5484,0.6667
4641 - ACCESSORIES TRAVEL,ACCESSORIES,1.29,1.0,-0.2248,3.5,2.0,-0.4286,1.17,1.0,-0.1453,29871.0,23233.0,-0.2222,34949.0,23233.0,-0.3352,6.0,6.0,0.0,0.0179,0.0221,0.2346,0.0,1.0,6.0,5.0,0.0,0.1667,1.0,0.8333
5521 - BABIES & CHILDREN SOCK,ACCESSORIES,1.0,1.0,0.0,4.5,0.67,-0.8511,1.0,1.0,0.0,21122.0,20400.0,-0.0342,21122.0,20400.0,-0.0342,9.0,2.0,-0.7778,0.0231,0.0074,-0.6797,0.0,0.0,9.0,2.0,0.0,0.0,1.0,1.0
5523 - MENS SOCK,ACCESSORIES,1.11,1.11,0.0,30.5,20.33,-0.3334,1.02,1.07,0.049,22638.0,23672.0,0.0457,23091.0,25329.0,0.0969,60.0,57.0,-0.05,0.1564,0.2243,0.4341,24.0,18.0,38.0,41.0,0.3871,0.3051,0.6129,0.6949
5811 - COMB,ACCESSORIES,1.05,1.02,-0.0286,41.0,15.33,-0.6261,1.01,1.0,-0.0099,15082.0,12983.0,-0.1392,15233.0,12983.0,-0.1477,81.0,46.0,-0.4321,0.2103,0.1691,-0.1959,4.0,1.0,77.0,45.0,0.0494,0.0217,0.9506,0.9783
