BUYER_ID,SECTION,CATEGORY_BEFORE,CATEGORY_AFTER,SWITCH_FLAG,PROMO_FLAG
MEM_9990010003035100,BREAKFAST,1223 - PURE COFFEE,1223 - PURE COFFEE,NO_SWITCH,PROMO
MEM_9990010003035100,CHILLER,1112 - CARBONATED DRINK,1115 - REMEDIES DRINK,SWITCH,PROMO
MEM_9990010003035100,MEJA KASIR,2321 - POCKET CANDY,2332 - BLOCK CHOCOLATE,SWITCH,PROMO
MEM_9990010003035100,NOODLE,1911 - INSTANT NOODLE BAG,1911 - INSTANT NOODLE BAG,NO_SWITCH,NON PROMO
MEM_9990010003035100,SNACK,2212 - POTATOES,2212 - POTATOES,NO_SWITCH,NON PROMO
MEM_9990010003035100,STAPLE NEED,1521 - PALM COOKING OIL,1612 - PROCESSED PUDDING,SWITCH,PROMO
MEM_9990010003070658,BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,2412 - SKM (SIGARET KRETEK MESIN) LTLN,NO_SWITCH,NON PROMO
MEM_9990010003070658,BCTB (FLOOR),1119 - MINERAL WATER GALON,1119 - MINERAL WATER GALON,NO_SWITCH,NON PROMO
MEM_9990010003070658,BISC & CONFECTIONARY,2222 - COOKIES BISCUIT,2227 - WAFER BISCUIT,SWITCH,NON PROMO
MEM_9990010003070658,BISC & CONFECTIONARY,2222 - COOKIES BISCUIT,2227 - WAFER BISCUIT,SWITCH,PROMO
MEM_9990010003070658,BREAD CORNER (BC),6611 - BREAD,6611 - BREAD,NO_SWITCH,NON PROMO
MEM_9990010003070658,BREAD CORNER (BC),6611 - BREAD,6611 - BREAD,NO_SWITCH,PROMO
MEM_9990010003070658,HOUSE HOLD,3616 - OTHERS INSECTICIDES,3624 - GEL AIR FRESHENER,SWITCH,PROMO
MEM_9990010003070658,MEJA KASIR,2321 - POCKET CANDY,2332 - BLOCK CHOCOLATE,SWITCH,PROMO
MEM_9990010003070658,SNACK,2212 - POTATOES,2212 - POTATOES,NO_SWITCH,NON PROMO
MEM_9990010003070658,STAPLE NEED,1521 - PALM COOKING OIL,1612 - PROCESSED PUDDING,SWITCH,PROMO
MEM_9990010003071087,PERSONAL CARE,3241 - FACIAL WASH SOAP,3241 - FACIAL WASH SOAP,NO_SWITCH,PROMO
MEM_9990010003071899,CHILLER,1113 - MINERAL WATER,1115 - REMEDIES DRINK,SWITCH,NON PROMO
