CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH,PENETRATION_BEFORE,PENETRATION_AFTER,PENETRATION_GROWTH
4271 - BATHROOM ACCESSORIES,PERSONAL CARE,1.0,1.0,0.0,35.0,16.0,-0.5429,1.06,1.07,0.0094,16306.0,17052.0,0.0458,17284.0,18246.0,0.0557,66.0,45.0,-0.3182,0.0049,0.006,0.2245
1511 - RICE,STAPLE NEED,1.26,1.18,-0.0635,6427.5,1413.0,-0.7802,1.82,1.65,-0.0934,89427.0,87340.0,-0.0233,162757.0,144111.0,-0.1146,7046.0,2576.0,-0.6344,0.2786,0.1469,-0.4727
1512 - SUGAR,STAPLE NEED,1.71,1.87,0.0936,5116.0,2254.0,-0.5594,1.84,1.73,-0.0598,29857.0,32903.0,0.102,54937.0,56922.0,0.0361,5547.0,3916.0,-0.294,0.2194,0.2233,0.0178
1513 - FLOUR,STAPLE NEED,1.25,1.27,0.016,1246.0,463.67,-0.6279,1.23,1.19,-0.0325,15665.0,15430.0,-0.015,19268.0,18362.0,-0.047,2030.0,1172.0,-0.4227,0.0803,0.0668,-0.1681
1521 - PALM COOKING OIL,STAPLE NEED,1.36,1.33,-0.0221,7885.5,3954.33,-0.4985,1.63,1.67,0.0245,51972.0,50940.0,-0.0199,84714.0,85070.0,0.0042,9672.0,7092.0,-0.2667,0.3825,0.4043,0.057
1522 - OTHER COOKING OIL,STAPLE NEED,1.32,1.21,-0.0833,75.0,12.67,-0.8311,1.17,1.09,-0.0684,85070.0,72511.0,-0.1476,99532.0,79037.0,-0.2059,128.0,35.0,-0.7266,0.0051,0.002,-0.6078
1523 - MARGARINE & BUTTER,STAPLE NEED,1.33,1.37,0.0301,2070.0,968.0,-0.5324,1.26,1.27,0.0079,12563.0,12845.0,0.0224,15829.0,16313.0,0.0306,3283.0,2284.0,-0.3043,0.1298,0.1302,0.0031
1531 - SEED & BEAN,STAPLE NEED,1.23,1.15,-0.065,91.0,30.67,-0.663,1.09,1.15,0.055,13432.0,12111.0,-0.0983,14641.0,13928.0,-0.0487,167.0,80.0,-0.521,0.0066,0.0046,-0.303
1532 - SUNDRIED CRACKER,STAPLE NEED,1.13,1.16,0.0265,52.0,14.33,-0.7244,1.28,1.26,-0.0156,12971.0,10121.0,-0.2197,16603.0,12752.0,-0.2319,81.0,34.0,-0.5802,0.0032,0.0019,-0.4063
1611 - POWDER JELLY,STAPLE NEED,1.92,1.87,-0.026,507.5,251.33,-0.5048,1.17,1.16,-0.0085,12294.0,12465.0,0.0139,14384.0,14459.0,0.0052,864.0,652.0,-0.2454,0.0342,0.0372,0.0877
