BRAND,SUBCATEGORY,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
OVOMALTINE,1312A - CHOCOLATE SPREAD,1312 - CHOCOLATE SPREAD,BREAD CORNER (BC),1.07,1.0,-0.0654,27.0,6.33,-0.7656,1.15,1.06,-0.0783,68576.0,65774.0,-0.0409,78862.0,69720.0,-0.1159,47.0,18.0,-0.617
SARI CHOCO,1312A - CHOCOLATE SPREAD,1312 - CHOCOLATE SPREAD,BREAD CORNER (BC),1.01,1.0,-0.0099,67.5,38.33,-0.4321,1.06,1.11,0.0472,26446.0,25847.0,-0.0226,28033.0,28690.0,0.0234,127.0,104.0,-0.1811
ALFAMART,1313A - CHOCO RICE 90G,1313 - CHOCO RICE,BREAD CORNER (BC),1.07,1.09,0.0187,463.0,159.0,-0.6566,1.14,1.14,0.0,8294.0,8993.0,0.0843,9455.0,10252.0,0.0843,809.0,417.0,-0.4845
CERES,1313A - CHOCO RICE 90G,1313 - CHOCO RICE,BREAD CORNER (BC),1.03,1.02,-0.0097,402.5,157.33,-0.6091,1.15,1.17,0.0174,16451.0,16714.0,0.016,18919.0,19555.0,0.0336,699.0,404.0,-0.422
CERES,1313B - CHOCO RICE 225G,1313 - CHOCO RICE,BREAD CORNER (BC),1.06,1.09,0.0283,182.5,60.67,-0.6676,1.23,1.11,-0.0976,27583.0,28738.0,0.0419,33927.0,31899.0,-0.0598,297.0,164.0,-0.4478
EMINA,1314A - CHEESE SLICE,1314 - CHEESE,BREAD CORNER (BC),1.08,1.1,0.0185,198.0,47.0,-0.7626,1.13,1.03,-0.0885,15115.0,15610.0,0.0327,17080.0,16078.0,-0.0587,350.0,137.0,-0.6086
KRAFT,1314A - CHEESE SLICE,1314 - CHEESE,BREAD CORNER (BC),1.08,1.04,-0.037,73.0,23.67,-0.6758,1.14,1.09,-0.0439,24503.0,27961.0,0.1411,27933.0,30477.0,0.0911,128.0,65.0,-0.4922
MEG,1314A - CHEESE SLICE,1314 - CHEESE,BREAD CORNER (BC),1.09,1.19,0.0917,102.0,28.67,-0.7189,1.17,1.06,-0.094,15178.0,16772.0,0.105,17758.0,17778.0,0.0011,175.0,81.0,-0.5371
PROCHIZ,1314A - CHEESE SLICE,1314 - CHEESE,BREAD CORNER (BC),1.24,1.24,0.0,548.5,194.0,-0.6463,1.25,1.18,-0.056,16090.0,16351.0,0.0162,20112.0,19294.0,-0.0407,881.0,495.0,-0.4381
ANCHOR,1314B - CHEESE BLOCK,1314 - CHEESE,BREAD CORNER (BC),1.05,,,21.5,,,1.05,,,29805.0,,,31295.0,,,41.0,,
EMINA,1314B - CHEESE BLOCK,1314 - CHEESE,BREAD CORNER (BC),1.12,1.19,0.0625,251.0,164.33,-0.3453,1.16,1.19,0.0259,20008.0,20384.0,0.0188,23209.0,24257.0,0.0452,432.0,413.0,-0.044
FRISIAN FLAG,1314B - CHEESE BLOCK,1314 - CHEESE,BREAD CORNER (BC),1.07,1.08,0.0093,74.0,17.33,-0.7658,1.08,1.02,-0.0556,21200.0,21431.0,0.0109,22896.0,21860.0,-0.0452,137.0,51.0,-0.6277
