BRAND,SUBCATEGORY,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
SPRITE,1112E - CARBONATED DRINK PET 1000-1800ML,1112 - CARBONATED DRINK,CHILLER,1.35,1.93,0.4296,48.5,29.67,-0.3882,1.11,1.24,0.1171,17302.0,20336.0,0.1754,19205.0,25217.0,0.313,87.0,72.0,-0.1724
ALFAMART,1113B - MINERAL WATER PET 330-400ML,1113 - MINERAL WATER,CHILLER,3.0,1.43,-0.5233,25.0,30.33,0.2132,1.02,1.25,0.2255,7442.0,4529.0,-0.3914,7591.0,5661.0,-0.2542,49.0,73.0,0.4898
AQUA,1113B - MINERAL WATER PET 330-400ML,1113 - MINERAL WATER,CHILLER,5.17,1.6,-0.6905,9.0,6.67,-0.2589,1.5,1.0,-0.3333,12744.0,4950.0,-0.6116,19116.0,4950.0,-0.7411,12.0,20.0,0.6667
CRYSTALIN,1113B - MINERAL WATER PET 330-400ML,1113 - MINERAL WATER,CHILLER,1.67,,,1.5,,,1.0,,,68233.0,,,68233.0,,,3.0,,
LE MINERALE,1113B - MINERAL WATER PET 330-400ML,1113 - MINERAL WATER,CHILLER,9.16,2.43,-0.7347,16.0,14.0,-0.125,1.19,1.08,-0.0924,29447.0,8381.0,-0.7154,35042.0,9051.0,-0.7417,27.0,39.0,0.4444
ALFAMART,1113C - MINERAL WATER PET 500-750ML,1113 - MINERAL WATER,CHILLER,2.8,1.31,-0.5321,90.0,65.0,-0.2778,1.19,2.14,0.7983,6576.0,2957.0,-0.5503,7825.0,6328.0,-0.1913,151.0,91.0,-0.3974
AQUA,1113C - MINERAL WATER PET 500-750ML,1113 - MINERAL WATER,CHILLER,1.82,1.74,-0.044,162.5,134.67,-0.1713,1.13,1.21,0.0708,7260.0,7077.0,-0.0252,8204.0,8563.0,0.0438,288.0,334.0,0.1597
AQUVIVA,1113C - MINERAL WATER PET 500-750ML,1113 - MINERAL WATER,CHILLER,1.14,1.41,0.2368,94.0,65.0,-0.3085,1.12,1.2,0.0714,3984.0,4989.0,0.2523,4462.0,5987.0,0.3418,168.0,163.0,-0.0298
CRYSTALIN,1113C - MINERAL WATER PET 500-750ML,1113 - MINERAL WATER,CHILLER,1.82,1.33,-0.2692,59.0,64.33,0.0903,1.17,1.21,0.0342,6169.0,4396.0,-0.2874,7218.0,5319.0,-0.2631,101.0,160.0,0.5842
LE MINERALE,1113C - MINERAL WATER PET 500-750ML,1113 - MINERAL WATER,CHILLER,1.74,1.94,0.1149,231.0,165.0,-0.2857,1.24,1.2,-0.0323,6487.0,7383.0,0.1381,8044.0,8860.0,0.1014,373.0,411.0,0.1019
NESTLE,1113C - MINERAL WATER PET 500-750ML,1113 - MINERAL WATER,CHILLER,1.46,1.46,0.0,103.0,91.33,-0.1133,1.25,1.22,-0.024,5131.0,5518.0,0.0754,6414.0,6732.0,0.0496,165.0,224.0,0.3576
PRIMA,1113C - MINERAL WATER PET 500-750ML,1113 - MINERAL WATER,CHILLER,2.97,1.75,-0.4108,16.5,22.33,0.3533,1.14,1.16,0.0175,8909.0,5196.0,-0.4168,10156.0,6027.0,-0.4066,29.0,58.0,1.0
VIT,1113C - MINERAL WATER PET 500-750ML,1113 - MINERAL WATER,CHILLER,1.0,1.64,0.64,2.0,3.67,0.835,1.0,1.1,0.1,3500.0,5236.0,0.496,3500.0,5760.0,0.6457,4.0,10.0,1.5
ALFAMART,1113D - MINERAL WATER PET 1-1.5L,1113 - MINERAL WATER,CHILLER,2.3,1.22,-0.4696,54.0,50.0,-0.0741,1.77,1.72,-0.0282,10532.0,5515.0,-0.4764,18642.0,9486.0,-0.4911,61.0,87.0,0.4262
AQUA,1113D - MINERAL WATER PET 1-1.5L,1113 - MINERAL WATER,CHILLER,1.93,1.6,-0.171,53.5,40.67,-0.2398,1.29,1.18,-0.0853,12936.0,10719.0,-0.1714,16687.0,12648.0,-0.242,83.0,103.0,0.241
AQUVIVA,1113D - MINERAL WATER PET 1-1.5L,1113 - MINERAL WATER,CHILLER,1.11,1.14,0.027,17.5,26.67,0.524,1.06,1.23,0.1604,7020.0,7281.0,0.0372,7441.0,8956.0,0.2036,33.0,65.0,0.9697
