PLU,DESCP,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
435538,ESSE DOUBLE POP 16,2412 - SKM (SIGARET KRETEK MESIN) LTLN,BACKWALL,1.17,1.29,0.1026,26.0,19.67,-0.2435,1.41,1.64,0.1631,46125.0,51629.0,0.1193,65036.0,84672.0,0.3019,37.0,36.0,-0.027
445824,ESSE CHANGE ICY DOUBLE 20,2412 - SKM (SIGARET KRETEK MESIN) LTLN,BACKWALL,1.0,1.16,0.16,3.5,6.33,0.8086,1.75,1.73,-0.0114,47300.0,55632.0,0.1762,82775.0,96243.0,0.1627,4.0,11.0,1.75
466784,ESSE CIGAR CACAO 20,2412 - SKM (SIGARET KRETEK MESIN) LTLN,BACKWALL,1.11,1.17,0.0541,4.5,2.0,-0.5556,1.29,1.0,-0.2248,49444.0,49717.0,0.0055,63783.0,49717.0,-0.2205,7.0,6.0,-0.1429
466785,ESSE CIGAR PURPPLE 20,2412 - SKM (SIGARET KRETEK MESIN) LTLN,BACKWALL,1.0,1.11,0.11,3.5,3.0,-0.1429,1.0,1.0,0.0,44500.0,47356.0,0.0642,44500.0,47356.0,0.0642,7.0,9.0,0.2857
420850,DIPLOMAT EVO 16,2412 - SKM (SIGARET KRETEK MESIN) LTLN,BACKWALL,1.2,1.12,-0.0667,53.5,45.67,-0.1464,1.45,1.27,-0.1241,31116.0,30431.0,-0.022,45118.0,38647.0,-0.1434,74.0,108.0,0.4595
448849,DIPLOMAT EVO MANGO SQUIZZ 16,2412 - SKM (SIGARET KRETEK MESIN) LTLN,BACKWALL,1.03,1.02,-0.0097,14.5,18.0,0.2414,1.26,1.2,-0.0476,27414.0,28420.0,0.0367,34542.0,34104.0,-0.0127,23.0,45.0,0.9565
448850,DIPLOMAT EVO BERRY SQUIZZ 16,2412 - SKM (SIGARET KRETEK MESIN) LTLN,BACKWALL,1.05,1.06,0.0095,33.0,17.33,-0.4748,1.94,1.37,-0.2938,27686.0,29488.0,0.0651,53711.0,40399.0,-0.2478,34.0,38.0,0.1176
450951,DIPLOMAT EVO GUAVA SQUIZZ 16,2412 - SKM (SIGARET KRETEK MESIN) LTLN,BACKWALL,,1.0,,,3.33,,,1.0,,,27850.0,,,27850.0,,,10.0,
465673,EVO BERRY SQUIZZ 12,2412 - SKM (SIGARET KRETEK MESIN) LTLN,BACKWALL,1.11,1.0,-0.0991,17.5,15.67,-0.1046,1.46,1.27,-0.1301,21806.0,20260.0,-0.0709,31837.0,25730.0,-0.1918,24.0,37.0,0.5417
465674,EVO MANGO SQUIZZ 12,2412 - SKM (SIGARET KRETEK MESIN) LTLN,BACKWALL,1.04,1.03,-0.0096,23.0,12.67,-0.4491,1.21,1.09,-0.0992,20407.0,20853.0,0.0219,24692.0,22730.0,-0.0795,38.0,35.0,-0.0789
