BRAND,SUBCATEGORY,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
ALFAMART,2221A - CAN BISCUIT,2221 - CAN BISCUIT,BISC & CONFECTIONARY,1.03,1.21,0.1748,43.0,32.67,-0.2402,1.13,1.07,-0.0531,31886.0,37022.0,0.1611,36031.0,39614.0,0.0994,76.0,92.0,0.2105
ARNOTT'S,2221A - CAN BISCUIT,2221 - CAN BISCUIT,BISC & CONFECTIONARY,,1.5,,,0.67,,,1.0,,,56100.0,,,56100.0,,,2.0,
ASTOR,2221A - CAN BISCUIT,2221 - CAN BISCUIT,BISC & CONFECTIONARY,,1.21,,,9.67,,,1.04,,,46672.0,,,48539.0,,,28.0,
CHOCOLATOS,2221A - CAN BISCUIT,2221 - CAN BISCUIT,BISC & CONFECTIONARY,,1.0,,,2.0,,,1.2,,,44167.0,,,53000.0,,,5.0,
DELBIS,2221A - CAN BISCUIT,2221 - CAN BISCUIT,BISC & CONFECTIONARY,,1.14,,,2.33,,,1.0,,,35486.0,,,35486.0,,,7.0,
GERY,2221A - CAN BISCUIT,2221 - CAN BISCUIT,BISC & CONFECTIONARY,,1.18,,,13.33,,,1.0,,,40198.0,,,40198.0,,,40.0,
GIZZI,2221A - CAN BISCUIT,2221 - CAN BISCUIT,BISC & CONFECTIONARY,,3.92,,,4.0,,,1.0,,,100267.0,,,100267.0,,,12.0,
GOOD TIME,2221A - CAN BISCUIT,2221 - CAN BISCUIT,BISC & CONFECTIONARY,,2.6,,,3.33,,,1.0,,,68780.0,,,68780.0,,,10.0,
HOCK GUAN,2221A - CAN BISCUIT,2221 - CAN BISCUIT,BISC & CONFECTIONARY,,1.0,,,1.67,,,1.25,,,93900.0,,,117375.0,,,4.0,
IMPERIAL,2221A - CAN BISCUIT,2221 - CAN BISCUIT,BISC & CONFECTIONARY,,3.2,,,1.67,,,1.0,,,77280.0,,,77280.0,,,5.0,
KHONG GUAN,2221A - CAN BISCUIT,2221 - CAN BISCUIT,BISC & CONFECTIONARY,1.05,1.11,0.0571,45.5,51.67,0.1356,1.08,1.05,-0.0278,93480.0,87609.0,-0.0628,100958.0,91989.0,-0.0888,84.0,147.0,0.75
MONDE,2221A - CAN BISCUIT,2221 - CAN BISCUIT,BISC & CONFECTIONARY,1.0,1.48,0.48,24.5,31.67,0.2927,1.0,1.08,0.08,79716.0,116717.0,0.4642,79716.0,126054.0,0.5813,49.0,88.0,0.7959
NABATI,2221A - CAN BISCUIT,2221 - CAN BISCUIT,BISC & CONFECTIONARY,,1.23,,,4.33,,,1.08,,,34223.0,,,36961.0,,,12.0,
NEXTAR,2221A - CAN BISCUIT,2221 - CAN BISCUIT,BISC & CONFECTIONARY,,1.07,,,4.67,,,1.08,,,24921.0,,,26915.0,,,13.0,
NISSIN,2221A - CAN BISCUIT,2221 - CAN BISCUIT,BISC & CONFECTIONARY,1.02,1.6,0.5686,20.0,26.67,0.3335,1.08,1.04,-0.037,53198.0,73455.0,0.3808,57454.0,76393.0,0.3296,37.0,77.0,1.0811
REGAL,2221A - CAN BISCUIT,2221 - CAN BISCUIT,BISC & CONFECTIONARY,,1.0,,,2.0,,,1.0,,,61300.0,,,61300.0,,,6.0,
RICHEESE,2221A - CAN BISCUIT,2221 - CAN BISCUIT,BISC & CONFECTIONARY,,1.65,,,5.67,,,1.06,,,45512.0,,,48243.0,,,16.0,
RICHOCO,2221A - CAN BISCUIT,2221 - CAN BISCUIT,BISC & CONFECTIONARY,,1.25,,,4.0,,,1.0,,,34625.0,,,34625.0,,,12.0,
ROMA,2221A - CAN BISCUIT,2221 - CAN BISCUIT,BISC & CONFECTIONARY,,1.3,,,3.33,,,1.11,,,47970.0,,,53247.0,,,9.0,
ROYAL CHOICE,2221A - CAN BISCUIT,2221 - CAN BISCUIT,BISC & CONFECTIONARY,,1.0,,,2.67,,,1.0,,,77712.0,,,77712.0,,,8.0,
SERENA,2221A - CAN BISCUIT,2221 - CAN BISCUIT,BISC & CONFECTIONARY,,1.0,,,1.67,,,1.0,,,73900.0,,,73900.0,,,5.0,
TANGO,2221A - CAN BISCUIT,2221 - CAN BISCUIT,BISC & CONFECTIONARY,1.14,2.18,0.9123,7.0,39.67,4.6671,1.0,1.02,0.02,31757.0,53602.0,0.6879,31757.0,54674.0,0.7216,14.0,117.0,7.3571
WAFELLO,2221A - CAN BISCUIT,2221 - CAN BISCUIT,BISC & CONFECTIONARY,,1.45,,,3.67,,,1.0,,,53864.0,,,53864.0,,,11.0,
BISKUAT,2222A - COOKIES BISCUIT 15-30G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,,1.2,,,83.67,,,1.14,,,7278.0,,,8297.0,,,220.0,
BAKED,2222B - COOKIES BISCUIT 40-60G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,,1.0,,,5.67,,,1.06,,,11059.0,,,11723.0,,,16.0,
CHOCOLITO,2222B - COOKIES BISCUIT 40-60G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.78,1.23,-0.309,241.5,90.33,-0.626,1.16,1.12,-0.0345,10867.0,7760.0,-0.2859,12606.0,8691.0,-0.3106,418.0,241.0,-0.4234
HELLO PANDA,2222B - COOKIES BISCUIT 40-60G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.68,1.51,-0.1012,503.0,336.0,-0.332,1.13,1.15,0.0177,15821.0,14008.0,-0.1146,17878.0,16109.0,-0.0989,892.0,874.0,-0.0202
LEMONILO,2222B - COOKIES BISCUIT 40-60G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.27,1.39,0.0945,534.0,364.33,-0.3177,1.16,1.15,-0.0086,17584.0,19207.0,0.0923,20397.0,22088.0,0.0829,923.0,950.0,0.0293
LOTTE,2222B - COOKIES BISCUIT 40-60G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.35,1.0,-0.2593,199.5,1.67,-0.9916,1.23,1.0,-0.187,12658.0,9400.0,-0.2574,15569.0,9400.0,-0.3962,325.0,5.0,-0.9846
MONDE,2222B - COOKIES BISCUIT 40-60G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.62,,,4.0,,,1.0,,,13062.0,,,13062.0,,,8.0,,
PAROTI,2222B - COOKIES BISCUIT 40-60G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.12,1.14,0.0179,277.5,163.67,-0.4102,1.12,1.08,-0.0357,11676.0,11625.0,-0.0044,13077.0,12555.0,-0.0399,495.0,455.0,-0.0808
DILAN,2222C - COOKIES BISCUIT 61-100G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,,1.07,,,99.0,,,1.06,,,10150.0,,,10759.0,,,280.0,
GOOD TIME,2222C - COOKIES BISCUIT 61-100G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.35,1.23,-0.0889,1154.5,542.33,-0.5302,1.17,1.13,-0.0342,13302.0,12472.0,-0.0624,15563.0,14093.0,-0.0945,1975.0,1442.0,-0.2699
MONDE,2222C - COOKIES BISCUIT 61-100G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.13,1.15,0.0177,69.5,20.67,-0.7026,1.12,1.03,-0.0804,16076.0,16516.0,0.0274,18005.0,17011.0,-0.0552,124.0,60.0,-0.5161
NEXTAR,2222C - COOKIES BISCUIT 61-100G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.19,1.19,0.0,246.5,107.33,-0.5646,1.16,1.17,0.0086,11385.0,11271.0,-0.01,13207.0,13187.0,-0.0015,424.0,276.0,-0.3491
NISSIN,2222C - COOKIES BISCUIT 61-100G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.15,1.11,-0.0348,690.0,314.0,-0.5449,1.25,1.19,-0.048,13205.0,12803.0,-0.0304,16506.0,15236.0,-0.0769,1103.0,792.0,-0.282
ROMA,2222C - COOKIES BISCUIT 61-100G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.11,1.06,-0.045,65.5,55.33,-0.1553,1.06,1.08,0.0189,12073.0,11606.0,-0.0387,12797.0,12534.0,-0.0206,124.0,153.0,0.2339
TROPICANA,2222C - COOKIES BISCUIT 61-100G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.43,,,3.5,,,1.0,,,39286.0,,,39286.0,,,7.0,,
BISKUAT,2222D - COOKIES BISCUIT 110-200G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.19,1.07,-0.1008,386.5,118.67,-0.693,1.16,1.09,-0.0603,11738.0,10473.0,-0.1078,13616.0,11416.0,-0.1616,664.0,327.0,-0.5075
GOOD TIME,2222D - COOKIES BISCUIT 110-200G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,,1.0,,,1.67,,,1.0,,,22500.0,,,22500.0,,,5.0,
KHONG GUAN,2222D - COOKIES BISCUIT 110-200G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.0,,,0.5,,,1.0,,,12900.0,,,12900.0,,,1.0,,
KOKOLA,2222D - COOKIES BISCUIT 110-200G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.09,1.15,0.055,169.5,68.0,-0.5988,1.17,1.06,-0.094,11360.0,12075.0,0.0629,13291.0,12800.0,-0.0369,289.0,192.0,-0.3356
MONDE,2222D - COOKIES BISCUIT 110-200G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.09,1.11,0.0183,272.5,150.0,-0.4495,1.14,1.19,0.0439,16079.0,16815.0,0.0458,18330.0,20010.0,0.0917,476.0,379.0,-0.2038
NISSIN,2222D - COOKIES BISCUIT 110-200G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.1,1.1,0.0,259.5,114.33,-0.5594,1.15,1.1,-0.0435,12350.0,12824.0,0.0384,14202.0,14106.0,-0.0068,451.0,312.0,-0.3082
TANGO,2222D - COOKIES BISCUIT 110-200G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,,1.0,,,3.67,,,1.1,,,22391.0,,,24630.0,,,10.0,
UNIBIS,2222D - COOKIES BISCUIT 110-200G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.26,1.6,0.2698,70.5,19.0,-0.7305,1.26,1.24,-0.0159,16891.0,21407.0,0.2674,21283.0,26545.0,0.2472,112.0,46.0,-0.5893
KHONG GUAN,2222E - COOKIES BISCUIT 250-300G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.04,1.06,0.0192,46.5,20.67,-0.5555,1.04,1.03,-0.0096,21855.0,23163.0,0.0598,22729.0,23858.0,0.0497,89.0,60.0,-0.3258
NISSIN,2222E - COOKIES BISCUIT 250-300G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.05,1.05,0.0,55.5,56.0,0.009,1.07,1.06,-0.0093,12568.0,13245.0,0.0539,13448.0,14040.0,0.044,104.0,158.0,0.5192
ROMA,2222E - COOKIES BISCUIT 250-300G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.11,1.1,-0.009,610.0,209.0,-0.6574,1.2,1.13,-0.0583,14356.0,13932.0,-0.0295,17227.0,15743.0,-0.0861,1019.0,556.0,-0.4544
7+,2222F - HEALTHY COOKIES BISCUIT,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.78,1.79,0.0056,57.5,13.0,-0.7739,1.1,1.03,-0.0636,16765.0,16882.0,0.007,18442.0,17388.0,-0.0572,105.0,38.0,-0.6381
DIABETASOL,2222F - HEALTHY COOKIES BISCUIT,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.2,,,2.5,,,1.0,,,24060.0,,,24060.0,,,5.0,,
FITBAR,2222F - HEALTHY COOKIES BISCUIT,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,2.2,2.14,-0.0273,402.5,145.67,-0.6381,1.19,1.13,-0.0504,12844.0,13111.0,0.0208,15284.0,14815.0,-0.0307,679.0,386.0,-0.4315
KOKO KRUNCH,2222F - HEALTHY COOKIES BISCUIT,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.0,,,1.5,,,1.0,,,4167.0,,,4167.0,,,3.0,,
L-MEN,2222F - HEALTHY COOKIES BISCUIT,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.52,2.0,0.3158,26.0,5.33,-0.795,1.06,1.07,0.0094,19938.0,27850.0,0.3968,21134.0,29800.0,0.4101,49.0,15.0,-0.6939
MILO,2222F - HEALTHY COOKIES BISCUIT,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.29,1.66,0.2868,24.0,19.33,-0.1946,1.23,1.18,-0.0407,11458.0,14641.0,0.2778,14093.0,17276.0,0.2259,39.0,49.0,0.2564
NARAYA,2222F - HEALTHY COOKIES BISCUIT,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.16,1.11,-0.0431,73.5,47.33,-0.3561,1.19,1.18,-0.0084,19966.0,18531.0,-0.0719,23760.0,21867.0,-0.0797,124.0,120.0,-0.0323
OATBIT,2222F - HEALTHY COOKIES BISCUIT,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.55,,,25.5,,,1.04,,,12504.0,,,13004.0,,,49.0,,
OATSIDE,2222F - HEALTHY COOKIES BISCUIT,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,5.14,,,7.0,,,1.0,,,30857.0,,,30857.0,,,14.0,,
SOY JOY,2222F - HEALTHY COOKIES BISCUIT,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,2.2,1.85,-0.1591,169.0,67.67,-0.5996,1.14,1.13,-0.0088,23142.0,19550.0,-0.1552,26382.0,22091.0,-0.1626,297.0,179.0,-0.3973
TROPICANA,2222F - HEALTHY COOKIES BISCUIT,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.59,1.77,0.1132,220.5,10.0,-0.9546,1.16,1.07,-0.0776,10318.0,11593.0,0.1236,11969.0,12405.0,0.0364,381.0,28.0,-0.9265
WRP,2222F - HEALTHY COOKIES BISCUIT,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.0,,,2.5,,,1.0,,,9500.0,,,9500.0,,,5.0,,
YAVA,2222F - HEALTHY COOKIES BISCUIT,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,,1.38,,,47.0,,,1.19,,,12213.0,,,14533.0,,,118.0,
TINI WINI BITI,2223A - CRACKER BISCUIT 10-30G,2223 - CRACKER BISCUIT,BISC & CONFECTIONARY,1.53,1.37,-0.1046,117.0,76.33,-0.3476,1.11,1.12,0.009,5768.0,5162.0,-0.1051,6402.0,5781.0,-0.097,211.0,205.0,-0.0284
BISKIES,2223B - CRACKER BISCUIT 35-99G,2223 - CRACKER BISCUIT,BISC & CONFECTIONARY,1.25,1.13,-0.096,93.5,30.67,-0.672,1.1,1.06,-0.0364,8657.0,7861.0,-0.0919,9523.0,8333.0,-0.125,170.0,87.0,-0.4882
BRIO,2223B - CRACKER BISCUIT 35-99G,2223 - CRACKER BISCUIT,BISC & CONFECTIONARY,1.13,1.15,0.0177,218.5,77.67,-0.6445,1.1,1.14,0.0364,6770.0,6911.0,0.0208,7447.0,7879.0,0.058,399.0,204.0,-0.4887
OOPS,2223B - CRACKER BISCUIT 35-99G,2223 - CRACKER BISCUIT,BISC & CONFECTIONARY,2.71,,,7.0,,,1.17,,,14014.0,,,16396.0,,,12.0,,
RITZ,2223B - CRACKER BISCUIT 35-99G,2223 - CRACKER BISCUIT,BISC & CONFECTIONARY,1.25,1.17,-0.064,638.5,221.67,-0.6528,1.22,1.23,0.0082,12147.0,11473.0,-0.0555,14819.0,14112.0,-0.0477,1044.0,539.0,-0.4837
ROMA,2223B - CRACKER BISCUIT 35-99G,2223 - CRACKER BISCUIT,BISC & CONFECTIONARY,1.17,1.12,-0.0427,382.5,131.67,-0.6558,1.16,1.14,-0.0172,11674.0,11344.0,-0.0283,13542.0,12932.0,-0.045,662.0,345.0,-0.4789
TINI WINI BITI,2223B - CRACKER BISCUIT 35-99G,2223 - CRACKER BISCUIT,BISC & CONFECTIONARY,1.22,1.09,-0.1066,227.5,107.0,-0.5297,1.17,1.11,-0.0513,8287.0,8145.0,-0.0171,9696.0,9041.0,-0.0676,390.0,289.0,-0.259
TRICKS,2223B - CRACKER BISCUIT 35-99G,2223 - CRACKER BISCUIT,BISC & CONFECTIONARY,1.11,1.19,0.0721,37.5,40.33,0.0755,1.09,1.09,0.0,7955.0,8679.0,0.091,8671.0,9460.0,0.091,69.0,111.0,0.6087
AIM,2223C - CRACKER BISCUIT 100-180G,2223 - CRACKER BISCUIT,BISC & CONFECTIONARY,1.01,1.04,0.0297,54.0,22.67,-0.5802,1.05,1.01,-0.0381,14055.0,14854.0,0.0568,14758.0,15003.0,0.0166,103.0,67.0,-0.3495
BRIO,2223C - CRACKER BISCUIT 100-180G,2223 - CRACKER BISCUIT,BISC & CONFECTIONARY,1.14,1.08,-0.0526,134.5,95.0,-0.2937,1.21,1.13,-0.0661,11363.0,10684.0,-0.0598,13749.0,12073.0,-0.1219,222.0,252.0,0.1351
GERY,2223C - CRACKER BISCUIT 100-180G,2223 - CRACKER BISCUIT,BISC & CONFECTIONARY,1.16,1.1,-0.0517,231.0,109.33,-0.5267,1.17,1.03,-0.1197,10239.0,9891.0,-0.034,11980.0,10188.0,-0.1496,395.0,317.0,-0.1975
KHONG GUAN,2223C - CRACKER BISCUIT 100-180G,2223 - CRACKER BISCUIT,BISC & CONFECTIONARY,1.03,1.11,0.0777,33.5,15.0,-0.5522,1.03,1.02,-0.0097,9872.0,10973.0,0.1115,10168.0,11192.0,0.1007,65.0,44.0,-0.3231
KOKOLA,2223C - CRACKER BISCUIT 100-180G,2223 - CRACKER BISCUIT,BISC & CONFECTIONARY,1.07,1.21,0.1308,94.0,34.67,-0.6312,1.11,1.02,-0.0811,8983.0,10279.0,0.1443,9971.0,10485.0,0.0515,169.0,102.0,-0.3964
