SUBCATEGORY,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
2413A - SKM (SIGARET KRETEK MESIN) FF 12,2413 - SKM (SIGARET KRETEK MESIN) FF,BACKWALL,1.26,1.22,-0.0317,1060.0,769.67,-0.2739,1.7,1.65,-0.0294,31124.0,30451.0,-0.0216,52911.0,50244.0,-0.0504,1248.0,1400.0,0.1218
2413B - SKM (SIGARET KRETEK MESIN) FF 16,2413 - SKM (SIGARET KRETEK MESIN) FF,BACKWALL,1.19,1.11,-0.0672,415.0,211.67,-0.49,1.64,1.38,-0.1585,40850.0,41376.0,0.0129,66994.0,57099.0,-0.1477,506.0,461.0,-0.0889
2413C - SKM (SIGARET KRETEK MESIN) FF 20,2413 - SKM (SIGARET KRETEK MESIN) FF,BACKWALL,1.16,1.12,-0.0345,74.0,83.33,0.1261,1.3,1.3,0.0,45875.0,43200.0,-0.0583,59638.0,56160.0,-0.0583,114.0,192.0,0.6842
2414A - SPM (SIGARET PUTIH MESIN),2414 - SPM (SIGARET PUTIH MESIN),BACKWALL,1.28,1.28,0.0,609.5,465.67,-0.236,1.9,1.67,-0.1211,46526.0,48305.0,0.0382,88399.0,80669.0,-0.0874,643.0,838.0,0.3033
2415A - DEVICE,2415 - SIGARET ELEKTRIK,BACKWALL,1.0,1.0,0.0,24.5,16.33,-0.3335,1.14,1.02,-0.1053,135102.0,97547.0,-0.278,154016.0,99498.0,-0.354,43.0,48.0,0.1163
2415B - DISPOSABLE DEVICE,2415 - SIGARET ELEKTRIK,BACKWALL,1.11,1.26,0.1351,79.5,78.33,-0.0147,1.41,1.22,-0.1348,82387.0,53663.0,-0.3486,116166.0,65469.0,-0.4364,113.0,192.0,0.6991
2415C - LIQUID,2415 - SIGARET ELEKTRIK,BACKWALL,1.25,1.28,0.024,139.0,142.33,0.024,1.46,1.86,0.274,92556.0,68591.0,-0.2589,135132.0,127579.0,-0.0559,190.0,229.0,0.2053
2415E - HEATED TOBACCO,2415 - SIGARET ELEKTRIK,BACKWALL,1.0,1.44,0.44,0.5,95.67,190.34,1.0,2.19,1.19,30000.0,48314.0,0.6105,30000.0,105808.0,2.5269,1.0,131.0,130.0
"2421A - LIGHTER,MATCHES,PAPER","2421 - LIGHTER, MATCHES & PAPER",BACKWALL,1.05,1.06,0.0095,247.0,190.67,-0.2281,1.13,1.16,0.0265,6683.0,7186.0,0.0753,7552.0,8336.0,0.1038,436.0,494.0,0.133
1113A - MINERAL WATER CUP,1113 - MINERAL WATER,BCTB (FLOOR),1.27,1.32,0.0394,396.0,48.33,-0.878,1.33,1.1,-0.1729,39813.0,42022.0,0.0555,52951.0,46224.0,-0.127,596.0,132.0,-0.7785
1119A - MINERAL WATER GALON 15-19L,1119 - MINERAL WATER GALON,BCTB (FLOOR),1.35,1.39,0.0296,7553.5,488.33,-0.9354,2.2,1.49,-0.3227,29608.0,30629.0,0.0345,65138.0,45637.0,-0.2994,6879.0,983.0,-0.8571
1119B - MINERAL WATER GALON 5-6L,1119 - MINERAL WATER GALON,BCTB (FLOOR),1.15,1.18,0.0261,456.5,46.67,-0.8978,1.39,1.14,-0.1799,18874.0,20878.0,0.1062,26235.0,23801.0,-0.0928,658.0,123.0,-0.8131
1119C - GALON,1119 - MINERAL WATER GALON,BCTB (FLOOR),1.09,1.42,0.3028,394.0,14.33,-0.9636,1.16,1.0,-0.1379,36343.0,48495.0,0.3344,42158.0,48495.0,0.1503,679.0,43.0,-0.9367
6111A - PACK EGG (NEGERI),6111 - PACK EGG (NEGERI),BCTB (FLOOR),9.5,9.02,-0.0505,243.5,75.0,-0.692,1.26,1.21,-0.0397,31090.0,29914.0,-0.0378,39173.0,36196.0,-0.076,386.0,186.0,-0.5181
6111C - PACK EGG 10'S,6111 - PACK EGG (NEGERI),BCTB (FLOOR),,1.05,,,43.33,,,1.26,,,24815.0,,,31267.0,,,103.0,
6112A - BULKY EGG,6112 - BULKY EGG,BCTB (FLOOR),11.16,10.42,-0.0663,1663.5,306.67,-0.8156,1.57,1.33,-0.1529,25911.0,24609.0,-0.0502,40680.0,32730.0,-0.1954,2125.0,692.0,-0.6744
6121A - PACK EGG (KAMPUNG),6121 - PACK EGG (KAMPUNG),BCTB (FLOOR),5.73,5.6,-0.0227,169.5,64.33,-0.6205,1.28,1.32,0.0313,24028.0,23653.0,-0.0156,30756.0,31222.0,0.0152,264.0,146.0,-0.447
6131A - SALTY,6131 - SALTY EGG,BCTB (FLOOR),1.35,1.33,-0.0148,55.0,9.0,-0.8364,1.2,1.08,-0.1,16011.0,15867.0,-0.009,19213.0,17136.0,-0.1081,92.0,25.0,-0.7283
1115B - REMEDIES DRINK BOX,1115 - REMEDIES DRINK,BEVERAGES,1.03,1.14,0.1068,120.0,38.67,-0.6778,1.06,1.05,-0.0094,18834.0,22459.0,0.1925,19964.0,23582.0,0.1812,227.0,111.0,-0.511
1121A - NATA DE COCO (PERSONAL PACK),1121 - DESSERT,BEVERAGES,1.27,1.27,0.0,170.0,71.33,-0.5804,1.13,1.13,0.0,8431.0,8369.0,-0.0074,9527.0,9457.0,-0.0073,300.0,190.0,-0.3667
1121B - NATA DE COCO (FAMILY PACK),1121 - DESSERT,BEVERAGES,1.15,1.24,0.0783,62.0,40.0,-0.3548,1.1,1.05,-0.0455,23846.0,24412.0,0.0237,26231.0,25633.0,-0.0228,113.0,114.0,0.0088
1121D - ICE POP,1121 - DESSERT,BEVERAGES,1.43,1.11,-0.2238,77.5,29.67,-0.6172,1.19,1.06,-0.1092,14491.0,11237.0,-0.2246,17244.0,11911.0,-0.3093,130.0,84.0,-0.3538
1121E - MIXED FRUIT,1121 - DESSERT,BEVERAGES,1.24,1.4,0.129,16.5,8.33,-0.4952,1.1,1.04,-0.0545,11673.0,13220.0,0.1325,12840.0,13749.0,0.0708,30.0,24.0,-0.2
1141A - SYRUP BOTTLE & POUCH,1141 - SYRUP,BEVERAGES,1.22,1.46,0.1967,136.0,117.33,-0.1373,1.06,1.04,-0.0189,33064.0,37875.0,0.1455,35048.0,39390.0,0.1239,256.0,337.0,0.3164
1142A - SQUASH BOTTLE,1142 - SQUASH,BEVERAGES,1.37,3.38,1.4672,63.0,83.33,0.3227,1.12,1.07,-0.0446,24373.0,42653.0,0.75,27298.0,45639.0,0.6719,112.0,233.0,1.0804
1144A - POWDER DRINK BOX,1144 - POWDER DRINK,BEVERAGES,1.0,,,2.5,,,1.0,,,61260.0,,,61260.0,,,5.0,,
1144C - POWDER DRINK BAG,1144 - POWDER DRINK,BEVERAGES,1.13,1.05,-0.0708,27.0,6.67,-0.753,1.12,1.0,-0.1071,18594.0,17290.0,-0.0701,20825.0,17290.0,-0.1697,48.0,20.0,-0.5833
1154C - RTD TEA TETRAPACK 1L,1154 - RTD TEA,BEVERAGES,1.37,1.33,-0.0292,309.0,98.0,-0.6828,1.33,1.29,-0.0301,15253.0,14653.0,-0.0393,20286.0,18902.0,-0.0682,464.0,228.0,-0.5086
