BUYER_ID,SECTION,BRAND,CATEGORY_BEFORE,CATEGORY_AFTER,SWITCH_FLAG,PROMO_FLAG
MEM_9990010003071087,PERSONAL CARE,SCARLETT,3240 - SUNSCREEN,3240 - SUNSCREEN,NO_SWITCH,PROMO
MEM_9990010003071899,CHILLER,CIMORY,2023 - TETRAPACK LIQUID MILK,6212 - YOGHURT,SWITCH,NON PROMO
MEM_9990010003071899,CHILLER,CIMORY,6212 - YOGHURT,6212 - YOGHURT,NO_SWITCH,NON PROMO
MEM_9990010003074026,BCTB (FLOOR),AQUA,1119 - MINERAL WATER GALON,1119 - MINERAL WATER GALON,NO_SWITCH,NON PROMO
MEM_9990010003074026,HOUSE HOLD,GENTLE GEN,3714 - LIQUID DETERGENT,3714 - LIQUID DETERGENT,NO_SWITCH,PROMO
MEM_9990010003074026,HOUSE HOLD,SOKLIN,3714 - LIQUID DETERGENT,3714 - LIQUID DETERGENT,NO_SWITCH,PROMO
MEM_9990010003074026,HOUSE HOLD,VAPE,3615 - ELECTRIC INSECTICIDES,3615 - ELECTRIC INSECTICIDES,NO_SWITCH,PROMO
MEM_9990010003074026,MEDICINE & BABY CARE,ALFAMART,3334 - REGULER COTTON BUD,3334 - REGULER COTTON BUD,NO_SWITCH,NON PROMO
MEM_9990010003074026,PERSONAL CARE,GIV,3221 - BAR SOAP,3221 - BAR SOAP,NO_SWITCH,PROMO
MEM_9990010003074026,STAPLE NEED,ABC,1812 - CANNED SEAFOOD,1724 - LIQUID SAUCE & VINEGAR,SWITCH,NON PROMO
MEM_9990010003074026,STAPLE NEED,BIMOLI,1521 - PALM COOKING OIL,1521 - PALM COOKING OIL,NO_SWITCH,PROMO
MEM_9990010003074026,STAPLE NEED,GMP,1512 - SUGAR,1512 - SUGAR,NO_SWITCH,NON PROMO
MEM_9990010003074026,STAPLE NEED,KAPAL,1712 - SALT,1712 - SALT,NO_SWITCH,NON PROMO
MEM_9990010003074026,STAPLE NEED,ROSE BRAND,1512 - SUGAR,1512 - SUGAR,NO_SWITCH,NON PROMO
MEM_9990010003180097,BREAD CORNER (BC),SARI ROTI,6611 - BREAD,6611 - BREAD,NO_SWITCH,NON PROMO
