CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH,TRANSACTION_PENETRATION_BEFORE,TRANSACTION_PENETRATION_AFTER,TRANSACTION_PENETRATION_GROWTH,BUYER_PROMO_BEFORE,BUYER_PROMO_AFTER,BUYER_NON_PROMO_BEFORE,BUYER_NON_PROMO_AFTER,PROMO_SHARE_BEFORE,PROMO_SHARE_AFTER,NON_PROMO_SHARE_BEFORE,NON_PROMO_SHARE_AFTER
1721 - CHILLI,STAPLE NEED,1.21,1.14,-0.0579,582.5,283.0,-0.5142,1.17,1.21,0.0342,16290.0,14823.0,-0.0901,19059.0,17936.0,-0.0589,993.0,703.0,-0.292,0.0886,0.0898,0.0135,599.0,488.0,484.0,282.0,0.5531,0.6338,0.4469,0.3662
1722 - TOMATO,STAPLE NEED,1.14,1.1,-0.0351,175.5,66.67,-0.6201,1.13,1.08,-0.0442,15366.0,14124.0,-0.0808,17364.0,15254.0,-0.1215,310.0,185.0,-0.4032,0.0267,0.0212,-0.206,165.0,124.0,167.0,69.0,0.497,0.6425,0.503,0.3575
1723 - SOY SAUCE,STAPLE NEED,2.12,2.25,0.0613,694.5,287.0,-0.5868,1.35,1.33,-0.0148,49433.0,52485.0,0.0617,66735.0,69805.0,0.046,1030.0,648.0,-0.3709,0.1056,0.0911,-0.1373,816.0,468.0,266.0,210.0,0.7542,0.6903,0.2458,0.3097
1724 - LIQUID SAUCE & VINEGAR,STAPLE NEED,1.11,1.09,-0.018,202.5,87.67,-0.5671,1.12,1.1,-0.0179,17717.0,16171.0,-0.0873,19843.0,17788.0,-0.1036,361.0,239.0,-0.338,0.0308,0.0278,-0.0974,119.0,129.0,268.0,120.0,0.3075,0.5181,0.6925,0.4819
1725 - DRESSING,STAPLE NEED,1.62,1.31,-0.1914,113.5,33.0,-0.7093,1.1,1.05,-0.0455,17418.0,14355.0,-0.1759,19160.0,15073.0,-0.2133,206.0,94.0,-0.5437,0.0173,0.0105,-0.3931,163.0,75.0,58.0,27.0,0.7376,0.7353,0.2624,0.2647
1811 - CANNED MEAT,STAPLE NEED,1.16,1.27,0.0948,58.5,13.67,-0.7663,1.36,1.78,0.3088,17397.0,16429.0,-0.0556,23660.0,29244.0,0.236,86.0,23.0,-0.7326,0.0089,0.0043,-0.5169,37.0,13.0,56.0,14.0,0.3978,0.4815,0.6022,0.5185
1812 - CANNED SEAFOOD,STAPLE NEED,1.38,1.37,-0.0072,202.5,70.0,-0.6543,1.19,1.15,-0.0336,21272.0,21672.0,0.0188,25314.0,24923.0,-0.0154,339.0,182.0,-0.4631,0.0308,0.0222,-0.2792,288.0,153.0,76.0,44.0,0.7912,0.7766,0.2088,0.2234
1814 - CANNED FRUIT,STAPLE NEED,1.0,,,0.5,,,1.0,,,22500.0,,,22500.0,,,1.0,,,0.0001,,,0.0,,1.0,,0.0,,1.0,
1821 - DRIED MEAT,STAPLE NEED,1.22,1.18,-0.0328,23.0,9.33,-0.5943,1.24,1.08,-0.129,19909.0,19114.0,-0.0399,24687.0,20643.0,-0.1638,37.0,26.0,-0.2973,0.0035,0.003,-0.1429,17.0,15.0,22.0,12.0,0.4359,0.5556,0.5641,0.4444
1915 - PASTA,STAPLE NEED,2.85,3.08,0.0807,473.0,392.0,-0.1712,1.2,1.29,0.075,13004.0,12906.0,-0.0075,15605.0,16649.0,0.0669,789.0,915.0,0.1597,0.0719,0.1244,0.7302,455.0,786.0,474.0,470.0,0.4898,0.6258,0.5102,0.3742
1921 - INSTANT SOUP,STAPLE NEED,1.19,1.25,0.0504,15.5,4.0,-0.7419,1.0,1.5,0.5,12381.0,13250.0,0.0702,12381.0,19875.0,0.6053,31.0,8.0,-0.7419,0.0024,0.0013,-0.4583,0.0,2.0,31.0,7.0,0.0,0.2222,1.0,0.7778
1922 - INSTANT RICE,STAPLE NEED,1.0,,,1.5,,,1.0,,,134167.0,,,134167.0,,,3.0,,,0.0002,,,2.0,,1.0,,0.6667,,0.3333,
